Last Disposition Date (date of issuance of vacate),Last Disposition Year,House Number,Street Name,Borough Name,ZIP Code,Block,Lot,Complaint  Category Description,Last Disposition Code Description
1/6/2022,2022,439,EAST 143 STREET,Bronx,10454,2288,81,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
1/6/2022,2022,282,ALEXANDER AVENUE,Bronx,10454,2302,4,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
1/6/2022,2022,667,CAULDWELL AVENUE,Bronx,10455,2624,73,FAILURE TO MAINTAIN,FULL VACATE ORDER ISSUED                                                 F
1/6/2022,2022,454,  42 STREET,Brooklyn,11232,724,30,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/6/2022,2022,453,43 STREET,Brooklyn,11232,724,57,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/6/2022,2022,172-02, 119 AVENUE,Queens,11434,12374,125,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/7/2022,2022,522,EAST 148 STREET,Bronx,10455,2274,13,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/7/2022,2022,419,EAST 157 STREET,Bronx,10451,2379,32,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
1/7/2022,2022,594,EAGLE AVENUE,Bronx,10455,2623,19,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
1/7/2022,2022,288,EAST  151,Bronx,10451,2410,19,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
1/7/2022,2022,435,EAST  154 STREET,Bronx,10455,2376,126,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
1/7/2022,2022,433,EAST  154 STREET,Bronx,10455,2376,127,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
1/8/2022,2022,2230,GRAND CONCOURSE,Bronx,10457,3158,1,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/10/2022,2022,2180,FOLIN STREET,Bronx,10457,3143,36,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/10/2022,2022,36-10,  11 STREET,Queens,11106,353,23,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/10/2022,2022,36-17,34 STREET,Queens,11106,634,27,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
1/11/2022,2022,680,MELROSE AVENUE,Bronx,10455,2375,6,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
1/11/2022,2022,430,EAST 158 STREET,Bronx,10451,2379,19,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
1/11/2022,2022,588,MORRIS AVENUE,Bronx,10451,2410,4,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
1/11/2022,2022,807,COURTLANDT AVENUE,Bronx,10451,2418,23,CONSTRUCTION - CONTRARY/BEYOND APPROVED PLANS/PERMITS                     +,PARTIAL VACATE ORDER ISSUED                                              P
1/11/2022,2022,87-73,171 STREET,Queens,11432,9827,18,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/11/2022,2022,87-74,172 STREET,Queens,11432,9827,39,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/11/2022,2022,87-72, 172 STREET,Queens,11432,9827,37,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/12/2022,2022,242,BEACH   13 STREET,Queens,11691,15619,37,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/12/2022,2022,87-74GAR, 172 STREET,Queens,11432,9827,39,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/13/2022,2022,4160,EDSON AVENUE,Bronx,10466,5016,83,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/14/2022,2022,1041,TRINITY AVENUE,Bronx,10456,2633,34,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
1/14/2022,2022,1036,INTERVALE AVENUE,Bronx,10459,2705,7,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
1/14/2022,2022,1016,BRYANT AVENUE,Bronx,10459,2756,6,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
1/14/2022,2022,649,BRYANT AVENUE,Bronx,10474,2766,73,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
1/14/2022,2022,814,FAILE STREET,Bronx,10474,2762,277,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
1/14/2022,2022,3301,AVENUE N,Brooklyn,11234,7669,10,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/18/2022,2022,873,FOX STREET,Bronx,10459,2711,90,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/18/2022,2022,871,FOX STREET,Bronx,10459,2711,91,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/18/2022,2022,869,FOX STREET,Bronx,10459,2711,92,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/18/2022,2022,867,FOX STREET,Bronx,10459,2711,93,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/18/2022,2022,865,FOX STREET,Bronx,10459,2711,94,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/18/2022,2022,395,BAINBRIDGE STREET,Brooklyn,11233,1504,56,DEMOLITION - UNSAFE/ILLEGAL/MECHANICAL DEMO,FULL VACATE ORDER ISSUED                                                 F
1/19/2022,2022,41,NORTH ELLIOTT PLACE,Brooklyn,11205,2027,1,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
1/19/2022,2022,109-18, 167 STREET,Queens,11433,10183,21,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/20/2022,2022,30-55,VERNON BOULEVARD,Queens,11102,505,14,DEBRIS/BUILDING - FALLING OR IN DANGER OF FALLING,PARTIAL VACATE ORDER ISSUED                                              P
1/21/2022,2022,452,WEST 36 STREET,Manhattan,10018,733,65,FAILURE TO MAINTAIN,FULL VACATE ORDER ISSUED                                                 F
1/21/2022,2022,1,SEAMAN AVENUE,Manhattan,10034,2237,8,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
1/21/2022,2022,5106,6 AVENUE,Brooklyn,11220,800,40,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/21/2022,2022,16-70,BELL BOULEVARD,Queens,11360,5865,112,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/21/2022,2022,380,ROSE AVENUE,Staten Island,10306,4226,30,CONSTRUCTION ENFORCEMENT WORK ORDER (DOB),PARTIAL VACATE ORDER ISSUED                                              P
1/21/2022,2022,2551,HYLAN BOULEVARD,Staten Island,10306,4226,39,FENCE - NONE/INADEQUATE/ILLEGAL,PARTIAL VACATE ORDER ISSUED                                              P
1/22/2022,2022,978,SUMMIT AVENUE,Bronx,10452,2524,40,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/24/2022,2022,4440,PARK AVENUE,Bronx,10457,3037,47,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/24/2022,2022,4442,PARK AVENUE,Bronx,10457,3037,122,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
